1001|1|4|1
1001|2|5|0
1001|3|3|2
1002|1|1|3
1002|2|2|1
1002|3|4|0
1003|1|18|4
1003|2|15|2
1003|3|20|1
1004|1|21|1
1004|2|19|0
1004|3|22|1
1005|1|22|0
1005|2|24|0
1005|3|20|2
1006|1|10|1
1006|2|12|0
1006|3|11|1
1007|1|5|2
1007|2|8|1
1007|3|7|0
1008|1|14|0
1008|2|16|1
1008|3|15|0
1009|1|9|3
1009|2|11|1
1009|3|10|2
1010|1|30|0
1010|2|28|0
1010|3|32|0
1011|1|12|1
1011|2|14|0
1011|3|13|1
1012|1|15|0
1012|2|18|0
1012|3|16|2
1013|1|20|1
1013|2|22|1
1013|3|19|0
1014|1|25|0
1014|2|24|2
1014|3|27|0
1015|1|8|1
1015|2|10|0
1015|3|9|1
1016|1|16|0
1016|2|18|1
1016|3|17|0
1017|1|11|2
1017|2|14|0
1017|3|12|1
1018|1|6|3
1018|2|8|1
1018|3|7|2
1019|1|9|1
1019|2|12|0
1019|3|10|1
1020|1|22|0
1020|2|25|1
1020|3|21|0
